n_arms,nparticles,fmm_order,qbx_order,form_multipoles,coarsen_multipoles,eval_direct_list1,eval_direct_list3,eval_direct_list4,multipole_to_local,eval_multipoles,form_locals,refine_locals,eval_locals,form_global_qbx_locals_list1,form_global_qbx_locals_list3,form_global_qbx_locals_list4,translate_box_multipoles_to_qbx_local,translate_box_local_to_qbx_local,eval_qbx_expansions
5,17430,7,3,68145,38612,0,0,0,549780,0,200949,39494,0,1110147,402654,753696,180621,53865,7695
15,93870,7,3,370755,201096,0,0,0,4369918,0,1259888,201586,0,7541520,2563455,6375123,1379805,286335,40905
25,218100,7,3,860475,454524,0,0,0,11080909,0,2436665,454671,0,19334925,5798559,15157449,3512061,664125,95175
35,458430,7,3,1786785,950159,0,0,0,25279786,0,4128110,950159,0,39061332,11373408,33310887,6979455,1420755,203175
45,705510,7,3,2744280,1449714,0,0,0,40039713,0,6174210,1449861,0,63070086,16987065,52344000,10103499,2194290,313470
55,994950,7,3,3887730,2018065,0,0,0,55414884,0,9711436,2015909,0,90473211,24690963,75397356,14981778,3076920,439560
65,1421160,7,3,5525520,2910257,0,0,0,82165111,0,12861527,2906729,0,125969037,34177038,106919163,22091160,4422600,631800
5,17430,15,7,146025,177300,0,0,0,2524500,0,430605,181350,0,2590343,939526,1758624,903105,269325,17955
15,93870,15,7,794475,923400,0,0,0,20065950,0,2699760,925650,0,17596880,5981395,14875287,6899025,1431675,95445
25,218100,15,7,1843875,2087100,0,0,0,50881725,0,5221425,2087775,0,45114825,13529971,35367381,17560305,3320625,222075
35,458430,15,7,3828825,4362975,0,0,0,116080650,0,8845950,4362975,0,91143108,26537952,77725403,34897275,7103775,474075
45,705510,15,7,5880600,6656850,0,0,0,183855825,0,13230450,6657525,0,147163534,39636485,122136000,50517495,10971450,731430
55,994950,15,7,8330850,9266625,0,0,0,254456100,0,20810220,9256725,0,211104159,57612247,175927164,74908890,15384600,1025640
65,1421160,15,7,11840400,13363425,0,0,0,377288775,0,27560415,13347225,0,293927753,79746422,249478047,110455800,22113000,1474200
