n_arms,fmm_order,qbx_order,time
5,15,3,3.27368214726448059e-01
5,15,3,3.81777398288249969e-01
5,15,3,3.78656666725873947e-01
5,30,7,4.57591783255338669e-01
5,30,7,4.22857012599706650e-01
5,30,7,4.18717723339796066e-01
15,15,3,2.03788283094763756e+00
15,15,3,2.10294410213828087e+00
15,15,3,2.33137209340929985e+00
15,30,7,2.59700842574238777e+00
15,30,7,2.57356842607259750e+00
15,30,7,2.58545987680554390e+00
25,15,3,4.75179396197199821e+00
25,15,3,4.79381030797958374e+00
25,15,3,4.74373224377632141e+00
25,30,7,6.00875124707818031e+00
25,30,7,6.01643249392509460e+00
25,30,7,5.90162152424454689e+00
35,15,3,1.10292324051260948e+01
35,15,3,1.10154664441943169e+01
35,15,3,1.08339017666876316e+01
35,30,7,1.36440147720277309e+01
35,30,7,1.35622015297412872e+01
35,30,7,1.35636608786880970e+01
45,15,3,1.71526951789855957e+01
45,15,3,1.68209594450891018e+01
45,15,3,1.67606603838503361e+01
45,30,7,2.10979348979890347e+01
45,30,7,2.09911898858845234e+01
45,30,7,2.09008296430110931e+01
55,15,3,2.61056919954717159e+01
55,15,3,2.72197816520929337e+01
55,15,3,2.55072606839239597e+01
55,30,7,3.17197035439312458e+01
55,30,7,3.28039526715874672e+01
55,30,7,3.41214130744338036e+01
65,15,3,3.70168023444712162e+01
65,15,3,3.64752693660557270e+01
65,15,3,3.65183785967528820e+01
65,30,7,4.44593219049274921e+01
65,30,7,4.45452247820794582e+01
65,30,7,4.44254921078681946e+01
