fmm_order,qbx_order,err_l2,err_linf,gmres_nit
3,3,4.24881139725823056e-03,5.31834369228743453e-03,197
3,5,3.76418614568500062e-03,4.46224591301730596e-03,198
3,7,3.77302710718177082e-03,4.48863690827404523e-03,198
3,9,3.77674576268821355e-03,4.49476129064247873e-03,198
5,3,1.92736521452120343e-03,2.54724262727355245e-03,183
5,5,2.65817739409999598e-04,3.04791244914552292e-04,179
5,7,2.47927472634385351e-04,2.72296786573514977e-04,181
5,9,2.38111085244680453e-04,2.63714342539937187e-04,184
10,3,2.10940870189232042e-03,2.70779669596220600e-03,183
10,5,4.19676183460803866e-05,5.28357449773012816e-05,179
10,7,1.13235207072840177e-05,1.50898930058347815e-05,180
10,9,1.05146869650959658e-06,1.64471762755040094e-06,183
15,3,2.10931433389859643e-03,2.70763124188284085e-03,183
15,5,4.20132696717788438e-05,5.28278580514372696e-05,179
15,7,1.14410080035612327e-05,1.50221510984173571e-05,180
15,9,6.78901289717190514e-07,8.92541200981044553e-07,183
20,3,2.10931442425938299e-03,2.70763129489817473e-03,183
20,5,4.20136765217830714e-05,5.28286171162505125e-05,179
20,7,1.14394722255513006e-05,1.50208995667161663e-05,180
20,9,6.80968897838925636e-07,8.94953869177021478e-07,183
